file, gain, peak, peak_channel, peak_value, FWHM, fano_factor
G1, 4.986, 1, 110.6+/-1.4, 98.0, 2.0+/-1.0, 0.01803+/-0.00023
G1, 4.986, 2, 121.8+/-1.6, 15.0, 2.0+/-1.0, 0.01985+/-0.00025
G2, 9.803, 1, 217.2+/-2.6, 52.0, 5.0+/-1.0, 0.0354+/-0.0004
G2, 9.803, 2, 238.5+/-2.6, 7.0, 6.0+/-1.0, 0.0389+/-0.0004
G3, 29.938, 1, 666+/-7, 16.0, 17.0+/-1.0, 0.1085+/-0.0012
G3, 29.938, 2, 732+/-8, 2.0, 9.0+/-1.0, 0.1193+/-0.0013
G4, 46.61, 1, 1037+/-12, 31.0, 28.0+/-1.0, 0.1691+/-0.0019
G4, 46.61, 2, 1141+/-11, 3.0, 15.0+/-1.0, 0.1859+/-0.0018
G5, 72.829, 1, 1620+/-17, 15.0, 24.0+/-1.0, 0.2640+/-0.0028
G5, 72.829, 2, 1782+/-21, 0.0, 37.0+/-1.0, 0.2904+/-0.0034
G6, 1.161, 1, 425+/-5, 50.0, 10.0+/-1.0, 0.0693+/-0.0008
G6, 1.161, 2, 467+/-5, 8.0, 3.0+/-1.0, 0.0761+/-0.0008
G7, 46.61, 1, 1034+/-10, 9.0, 11.0+/-1.0, 0.1686+/-0.0016
G7, 46.61, 2, 1141+/-5, 2.0, 16.0+/-1.0, 0.1859+/-0.0007

