file, gain, peak, peak_channel, peak_value, FWHM, fano_factor, resolution
G1, 4.986, 1, 110.6+/-1.4, 98.0, 2.0+/-1.0, 0.0112+/-0.0010, 0.0236+/-0.0010
G1, 4.986, 2, 121.8+/-1.6, 15.0, 2.0+/-1.0, 0.0123+/-0.0011, 0.0236+/-0.0010
G2, 9.803, 1, 217.2+/-2.6, 52.0, 5.0+/-1.0, 0.0219+/-0.0019, 0.0236+/-0.0010
G2, 9.803, 2, 238.5+/-2.6, 7.0, 6.0+/-1.0, 0.0241+/-0.0021, 0.0236+/-0.0010
G3, 29.938, 1, 666+/-7, 16.0, 17.0+/-1.0, 0.067+/-0.006, 0.0236+/-0.0010
G3, 29.938, 2, 732+/-8, 2.0, 9.0+/-1.0, 0.074+/-0.006, 0.0236+/-0.0010
G4, 46.61, 1, 1037+/-12, 31.0, 28.0+/-1.0, 0.105+/-0.009, 0.0236+/-0.0010
G4, 46.61, 2, 1141+/-11, 3.0, 15.0+/-1.0, 0.115+/-0.010, 0.0236+/-0.0010
G5, 72.829, 1, 1620+/-17, 15.0, 24.0+/-1.0, 0.163+/-0.014, 0.0236+/-0.0010
G5, 72.829, 2, 1782+/-21, 0.0, 37.0+/-1.0, 0.180+/-0.015, 0.0236+/-0.0010
G6, 1.161, 1, 425+/-5, 50.0, 10.0+/-1.0, 0.043+/-0.004, 0.0236+/-0.0010
G6, 1.161, 2, 467+/-5, 8.0, 3.0+/-1.0, 0.047+/-0.004, 0.0236+/-0.0010
G7, 46.61, 1, 1034+/-10, 9.0, 11.0+/-1.0, 0.104+/-0.009, 0.0236+/-0.0010
G7, 46.61, 2, 1141+/-5, 2.0, 16.0+/-1.0, 0.115+/-0.010, 0.0236+/-0.0010
