file, gain, peak, peak_channel, peak_value, FWHM, fano_factor, resolution
G1, 4.986, 1, 110.6+/-1.4, 98.0, 2.0+/-1.0, 0.007+/-0.007, 0.018+/-0.009
G1, 4.986, 2, 121.8+/-1.6, 15.0, 2.0+/-1.0, 0.006+/-0.006, 0.016+/-0.008
G2, 9.803, 1, 217.2+/-2.6, 52.0, 5.0+/-1.0, 0.021+/-0.008, 0.023+/-0.005
G2, 9.803, 2, 238.5+/-2.6, 7.0, 6.0+/-1.0, 0.027+/-0.009, 0.025+/-0.004
G3, 29.938, 1, 666+/-7, 16.0, 17.0+/-1.0, 0.079+/-0.009, 0.0255+/-0.0015
G3, 29.938, 2, 732+/-8, 2.0, 9.0+/-1.0, 0.020+/-0.004, 0.0123+/-0.0014
G4, 46.61, 1, 1037+/-12, 31.0, 28.0+/-1.0, 0.137+/-0.010, 0.0270+/-0.0010
G4, 46.61, 2, 1141+/-11, 3.0, 15.0+/-1.0, 0.036+/-0.005, 0.0131+/-0.0009
G5, 72.829, 1, 1620+/-17, 15.0, 24.0+/-1.0, 0.064+/-0.005, 0.0148+/-0.0006
G5, 72.829, 2, 1782+/-21, 0.0, 37.0+/-1.0, 0.139+/-0.008, 0.0208+/-0.0006
G6, 1.161, 1, 425+/-5, 50.0, 10.0+/-1.0, 0.043+/-0.009, 0.0235+/-0.0024
G6, 1.161, 2, 467+/-5, 8.0, 3.0+/-1.0, 0.0035+/-0.0023, 0.0064+/-0.0021
G7, 46.61, 1, 1034+/-10, 9.0, 11.0+/-1.0, 0.021+/-0.004, 0.0106+/-0.0010
G7, 46.61, 2, 1141+/-5, 2.0, 16.0+/-1.0, 0.041+/-0.005, 0.0140+/-0.0009
