file, gain, peak, peak_channel, peak_value, FWHM, fano_factor, resolution
G1, 4.986, 1, 110.6+/-1.4, 98.0, 2.0+/-1.0, 0.0183+/-0.0021, 0.0302+/-0.0017
G1, 4.986, 2, 121.8+/-1.6, 15.0, 2.0+/-1.0, 0.020+/-0.008, 0.030+/-0.006
G2, 9.803, 1, 217.2+/-2.6, 52.0, 5.0+/-1.0, 0.0307+/-0.0034, 0.0279+/-0.0015
G2, 9.803, 2, 238.5+/-2.6, 7.0, 6.0+/-1.0, 0.027+/-0.007, 0.0252+/-0.0032
G3, 29.938, 1, 666+/-7, 16.0, 17.0+/-1.0, 0.077+/-0.009, 0.0253+/-0.0015
G3, 29.938, 2, 732+/-8, 2.0, 9.0+/-1.0, 0.086+/-0.032, 0.026+/-0.005
G4, 46.61, 1, 1037+/-12, 31.0, 28.0+/-1.0, 0.131+/-0.011, 0.0264+/-0.0011
G4, 46.61, 2, 1141+/-11, 3.0, 15.0+/-1.0, 0.107+/-0.018, 0.0227+/-0.0019
G5, 72.829, 1, 1620+/-17, 15.0, 24.0+/-1.0, 0.183+/-0.015, 0.0250+/-0.0010
G5, 72.829, 2, 1782+/-21, 0.0, 37.0+/-1.0, 0.25+/-0.05, 0.0276+/-0.0028
G6, 1.161, 1, 425+/-5, 50.0, 10.0+/-1.0, 0.056+/-0.004, 0.0270+/-0.0009
G6, 1.161, 2, 467+/-5, 8.0, 3.0+/-1.0, 0.048+/-0.010, 0.0239+/-0.0024
G7, 46.61, 1, 1034+/-10, 9.0, 11.0+/-1.0, 0.094+/-0.016, 0.0224+/-0.0019
G7, 46.61, 2, 1141+/-5, 2.0, 16.0+/-1.0, 0.019+/-0.007, 0.0095+/-0.0019
