file, shaping_time, peak, peak_channel, peak_value, FWHM, fano_factor
live_data, 32, 1, 338.1+/-3.4, 24.0, 5.0+/-1.0, 0.0551+/-0.0006
live_data, 32, 2, 372+/-4, 4.0, 3.0+/-1.0, 0.0607+/-0.0007
live_data, 32, 3, 372+/-4, 7.0, 3.0+/-1.0, 0.0607+/-0.0007
S1, 3.2, 1, 343+/-5, 34.0, 10.0+/-1.0, 0.0559+/-0.0008
S1, 3.2, 2, 379+/-4, 2.0, 10.0+/-1.0, 0.0618+/-0.0007
S1, 3.2, 3, 379+/-4, 2.0, 10.0+/-1.0, 0.0618+/-0.0007
S2, 5.6, 1, 341+/-4, 41.0, 10.0+/-1.0, 0.0556+/-0.0007
S2, 5.6, 2, 376.4+/-1.5, 3.0, 3.0+/-1.0, 0.06134+/-0.00024
S3, 9.6, 1, 341+/-4, 26.0, 8.0+/-1.0, 0.0555+/-0.0006
S3, 9.6, 2, 374+/-4, 2.0, 5.0+/-1.0, 0.0609+/-0.0007
S4, 16, 1, 339+/-4, 29.0, 9.0+/-1.0, 0.0553+/-0.0006
S4, 16, 2, 373+/-4, 4.0, 3.0+/-1.0, 0.0608+/-0.0007
S5, 25.6, 1, 339+/-4, 31.0, 5.0+/-1.0, 0.0553+/-0.0007
S5, 25.6, 2, 372+/-4, 2.0, 6.0+/-1.0, 0.0607+/-0.0007
S6, 44.8, 1, 338+/-4, 35.0, 7.0+/-1.0, 0.0551+/-0.0006
S6, 44.8, 2, 371+/-5, 2.0, 3.0+/-1.0, 0.0604+/-0.0008
