file, shaping_time, peak, peak_channel, peak_value, FWHM, fano_factor, resolution
live_data, 32, 1, 338.1+/-3.4, 24.0, 5.0+/-1.0, 0.0341+/-0.0029, 0.0236+/-0.0010
live_data, 32, 2, 372+/-4, 4.0, 3.0+/-1.0, 0.0375+/-0.0032, 0.0236+/-0.0010
live_data, 32, 3, 372+/-4, 7.0, 3.0+/-1.0, 0.0375+/-0.0032, 0.0236+/-0.0010
S1, 3.2, 1, 343+/-5, 34.0, 10.0+/-1.0, 0.0346+/-0.0030, 0.0236+/-0.0010
S1, 3.2, 2, 379+/-4, 2.0, 10.0+/-1.0, 0.0382+/-0.0033, 0.0236+/-0.0010
S1, 3.2, 3, 379+/-4, 2.0, 10.0+/-1.0, 0.0382+/-0.0033, 0.0236+/-0.0010
S2, 5.6, 1, 341+/-4, 41.0, 10.0+/-1.0, 0.0344+/-0.0030, 0.0236+/-0.0010
S2, 5.6, 2, 376.4+/-1.5, 3.0, 3.0+/-1.0, 0.0380+/-0.0032, 0.0236+/-0.0010
S3, 9.6, 1, 341+/-4, 26.0, 8.0+/-1.0, 0.0343+/-0.0029, 0.0236+/-0.0010
S3, 9.6, 2, 374+/-4, 2.0, 5.0+/-1.0, 0.0377+/-0.0032, 0.0236+/-0.0010
S4, 16, 1, 339+/-4, 29.0, 9.0+/-1.0, 0.0342+/-0.0029, 0.0236+/-0.0010
S4, 16, 2, 373+/-4, 4.0, 3.0+/-1.0, 0.0376+/-0.0032, 0.0236+/-0.0010
S5, 25.6, 1, 339+/-4, 31.0, 5.0+/-1.0, 0.0342+/-0.0029, 0.0236+/-0.0010
S5, 25.6, 2, 372+/-4, 2.0, 6.0+/-1.0, 0.0376+/-0.0032, 0.0236+/-0.0010
S6, 44.8, 1, 338+/-4, 35.0, 7.0+/-1.0, 0.0341+/-0.0029, 0.0236+/-0.0010
S6, 44.8, 2, 371+/-5, 2.0, 3.0+/-1.0, 0.0374+/-0.0032, 0.0236+/-0.0010
