file, shaping_time, peak, peak_channel, peak_value, FWHM, fano_factor, resolution
live_data, 32, 1, 338.1+/-3.4, 24.0, 5.0+/-1.0, 0.013+/-0.005, 0.0148+/-0.0030
live_data, 32, 2, 372+/-4, 4.0, 3.0+/-1.0, 0.0044+/-0.0029, 0.0081+/-0.0027
live_data, 32, 3, 372+/-4, 7.0, 3.0+/-1.0, 0.0044+/-0.0029, 0.0081+/-0.0027
S1, 3.2, 1, 343+/-5, 34.0, 10.0+/-1.0, 0.053+/-0.011, 0.0291+/-0.0029
S1, 3.2, 2, 379+/-4, 2.0, 10.0+/-1.0, 0.048+/-0.010, 0.0264+/-0.0027
S1, 3.2, 3, 379+/-4, 2.0, 10.0+/-1.0, 0.048+/-0.010, 0.0264+/-0.0027
S2, 5.6, 1, 341+/-4, 41.0, 10.0+/-1.0, 0.053+/-0.011, 0.0293+/-0.0030
S2, 5.6, 2, 376.4+/-1.5, 3.0, 3.0+/-1.0, 0.0043+/-0.0029, 0.0080+/-0.0027
S3, 9.6, 1, 341+/-4, 26.0, 8.0+/-1.0, 0.034+/-0.009, 0.0235+/-0.0029
S3, 9.6, 2, 374+/-4, 2.0, 5.0+/-1.0, 0.012+/-0.005, 0.0134+/-0.0027
S4, 16, 1, 339+/-4, 29.0, 9.0+/-1.0, 0.043+/-0.010, 0.0265+/-0.0030
S4, 16, 2, 373+/-4, 4.0, 3.0+/-1.0, 0.0044+/-0.0029, 0.0080+/-0.0027
S5, 25.6, 1, 339+/-4, 31.0, 5.0+/-1.0, 0.013+/-0.005, 0.0147+/-0.0030
S5, 25.6, 2, 372+/-4, 2.0, 6.0+/-1.0, 0.018+/-0.006, 0.0161+/-0.0027
S6, 44.8, 1, 338+/-4, 35.0, 7.0+/-1.0, 0.026+/-0.008, 0.0207+/-0.0030
S6, 44.8, 2, 371+/-5, 2.0, 3.0+/-1.0, 0.0044+/-0.0029, 0.0081+/-0.0027
