file, shaping_time, peak, peak_channel, peak_value, FWHM, fano_factor, resolution
live_data, 32, 1, 338.1+/-3.4, 24.0, 5.0+/-1.0, 0.0342+/-0.0030, 0.0236+/-0.0010
live_data, 32, 2, 372+/-4, 4.0, 3.0+/-1.0, 0.045+/-0.014, 0.026+/-0.004
live_data, 32, 3, 372+/-4, 7.0, 3.0+/-1.0, 0.045+/-0.014, 0.026+/-0.004
S1, 3.2, 1, 343+/-5, 34.0, 10.0+/-1.0, 0.071+/-0.005, 0.0339+/-0.0012
S1, 3.2, 2, 379+/-4, 2.0, 10.0+/-1.0, 0.05+/-0.10, 0.028+/-0.027
S1, 3.2, 3, 379+/-4, 2.0, 10.0+/-1.0, 0.05+/-0.10, 0.028+/-0.027
S2, 5.6, 1, 341+/-4, 41.0, 10.0+/-1.0, 0.056+/-0.005, 0.0301+/-0.0014
S2, 5.6, 2, 376.4+/-1.5, 3.0, 3.0+/-1.0, 0.0057+/-0.0020, 0.0092+/-0.0016
S3, 9.6, 1, 341+/-4, 26.0, 8.0+/-1.0, 0.0405+/-0.0030, 0.0256+/-0.0010
S3, 9.6, 2, 374+/-4, 2.0, 5.0+/-1.0, 0.046+/-0.013, 0.026+/-0.004
S4, 16, 1, 339+/-4, 29.0, 9.0+/-1.0, 0.045+/-0.004, 0.0271+/-0.0011
S4, 16, 2, 373+/-4, 4.0, 3.0+/-1.0, 0.045+/-0.020, 0.026+/-0.006
S5, 25.6, 1, 339+/-4, 31.0, 5.0+/-1.0, 0.052+/-0.005, 0.0292+/-0.0013
S5, 25.6, 2, 372+/-4, 2.0, 6.0+/-1.0, 0.043+/-0.010, 0.0254+/-0.0028
S6, 44.8, 1, 338+/-4, 35.0, 7.0+/-1.0, 0.040+/-0.004, 0.0256+/-0.0012
S6, 44.8, 2, 371+/-5, 2.0, 3.0+/-1.0, 0.061+/-0.030, 0.030+/-0.007
